,ID1,ID2,end_time,start_time
1777,1337,1336,1820,20
1777,1336,1337,1820,20
1778,1337,1336,4280,1920
1778,1336,1337,4280,1920
638,1125,1080,3760,3700
638,1080,1125,3760,3700
639,1080,1125,3920,3820
639,1125,1080,3920,3820
691,1080,1337,4220,4140
691,1337,1080,4220,4140
676,1336,1080,4320,4160
676,1080,1336,4320,4160
677,1080,1336,4560,4380
677,1336,1080,4560,4380
499,1080,1073,4660,4520
499,1073,1080,4660,4520
845,1125,1097,4700,4560
845,1097,1125,4700,4560
1632,1336,1189,4760,4680
1632,1189,1336,4760,4680
996,1189,1125,4780,4720
996,1125,1189,4780,4720
1044,1125,1337,4860,4760
1044,1337,1125,4860,4760
640,1080,1125,5040,4920
640,1125,1080,5040,4920
986,1146,1125,5080,5020
986,1125,1146,5080,5020
641,1125,1080,5240,5160
641,1080,1125,5240,5160
987,1164,1125,5300,5180
987,1125,1164,5300,5180
1363,1142,1164,5400,5320
1363,1164,1142,5400,5320
642,1125,1080,5440,5340
642,1080,1125,5440,5340
657,1080,1144,5520,5420
657,1144,1080,5520,5420
1684,1199,1337,5540,5440
1684,1337,1199,5540,5440
643,1125,1080,5620,5540
643,1080,1125,5620,5540
514,1146,1073,5720,5640
514,1073,1146,5720,5640
644,1125,1080,5780,5720
644,1080,1125,5780,5720
1014,1210,1125,5840,5720
1014,1125,1210,5840,5720
645,1125,1080,5980,5820
645,1080,1125,5980,5820
1677,1199,1228,5920,5840
1677,1228,1199,5920,5840
646,1125,1080,6180,6080
646,1080,1125,6180,6080
663,1180,1080,6180,6120
663,1080,1180,6180,6120
1311,1138,1189,6340,6160
1311,1189,1138,6340,6160
792,1125,1090,6320,6240
792,1090,1125,6320,6240
895,1125,1104,6460,6380
647,1080,1125,6560,6380
895,1104,1125,6460,6380
647,1125,1080,6560,6380
1011,1125,1198,6600,6460
1011,1198,1125,6600,6460
1399,1146,1198,6680,6580
1399,1198,1146,6680,6580
995,1125,1187,6720,6600
670,1080,1215,6660,6600
995,1187,1125,6720,6600
670,1215,1080,6660,6600
747,1086,1125,6820,6740
747,1125,1086,6820,6740
648,1125,1080,6880,6760
648,1080,1125,6880,6760
988,1175,1125,6880,6820
988,1125,1175,6880,6820
1625,1189,1228,6900,6840
1625,1228,1189,6900,6840
678,1336,1080,6960,6860
678,1080,1336,6960,6860
1045,1337,1125,6920,6860
1045,1125,1337,6920,6860
668,1080,1193,7000,6880
1024,1125,1336,7000,6880
1024,1336,1125,7000,6880
668,1193,1080,7000,6880
1767,1336,1334,7000,6940
1767,1334,1336,7000,6940
673,1080,1334,7040,6980
492,1359,1067,7040,6980
673,1334,1080,7040,6980
492,1067,1359,7040,6980
1768,1334,1359,7080,7020
1768,1359,1334,7080,7020
485,1334,1067,7080,7020
629,1105,1080,7080,7020
629,1080,1105,7080,7020
485,1067,1334,7080,7020
649,1080,1125,7140,7080
649,1125,1080,7140,7080
1369,1142,1189,7180,7100
1636,1189,1360,7180,7100
1369,1189,1142,7180,7100
1636,1360,1189,7180,7100
989,1177,1125,7380,7280
989,1125,1177,7380,7280
1025,1125,1336,7420,7340
1025,1336,1125,7420,7340
1364,1142,1164,7480,7380
1364,1164,1142,7480,7380
662,1179,1080,7500,7420
662,1080,1179,7500,7420
1012,1125,1198,7620,7480
1012,1198,1125,7620,7480
1400,1198,1146,7680,7620
1400,1146,1198,7680,7620
1318,1138,1199,7840,7780
1318,1199,1138,7840,7780
474,1199,1067,7880,7800
474,1067,1199,7880,7800
1623,1199,1189,8060,7860
1623,1189,1199,8060,7860
1737,1213,1341,7960,7900
1737,1341,1213,7960,7900
1231,1155,1135,8300,8040
1231,1135,1155,8300,8040
493,1067,1359,8200,8080
493,1359,1067,8200,8080
914,1143,1105,8360,8300
914,1105,1143,8360,8300
409,1063,1138,8600,8460
409,1138,1063,8600,8460
414,1336,1063,8560,8480
414,1063,1336,8560,8480
945,1175,1107,8640,8540
945,1107,1175,8640,8540
1324,1336,1138,8700,8560
1324,1138,1336,8700,8560
1586,1200,1177,8760,8660
1586,1177,1200,8760,8660
915,1105,1143,8780,8720
915,1143,1105,8780,8720
650,1080,1125,8940,8800
650,1125,1080,8940,8800
302,1049,1125,8880,8820
302,1125,1049,8880,8820
997,1125,1189,9080,8960
997,1189,1125,9080,8960
1026,1336,1125,9040,8980
1026,1125,1336,9040,8980
1675,1198,1336,9160,9080
1675,1336,1198,9160,9080
679,1336,1080,9260,9180
679,1080,1336,9260,9180
1212,1133,1334,9260,9200
1212,1334,1133,9260,9200
990,1125,1181,9320,9260
844,1336,1093,9320,9260
844,1093,1336,9320,9260
990,1181,1125,9320,9260
692,1080,1337,9480,9300
692,1337,1080,9480,9300
1312,1189,1138,9440,9360
1312,1138,1189,9440,9360
1757,1337,1227,9500,9420
