,ID1,ID2,end_time,start_time
348,1191,1159,640,560
348,1159,1191,640,560
1533,1191,1144,940,700
1533,1144,1191,940,700
20,1159,1157,980,920
420,1159,1144,1000,920
420,1144,1159,1000,920
20,1157,1159,980,920
4,1152,1191,1860,1800
4,1191,1152,1860,1800
63,1157,1191,2500,2420
63,1191,1157,2500,2420
838,1105,1295,2640,2580
838,1295,1105,2640,2580
2921,1232,1109,4300,4200
2921,1109,1232,4300,4200
777,1193,1295,4340,4260
777,1295,1193,4340,4260
3155,1114,1116,4440,4340
3155,1116,1114,4440,4340
2919,1232,1105,4420,4360
2919,1105,1232,4420,4360
2804,1114,1098,4460,4360
2804,1098,1114,4460,4360
839,1295,1105,4580,4420
839,1105,1295,4580,4420
2920,1105,1232,4520,4460
2920,1232,1105,4520,4460
1659,1105,1193,4580,4480
2928,1105,1109,4600,4480
1665,1109,1193,4600,4480
2928,1109,1105,4600,4480
1665,1193,1109,4600,4480
1659,1193,1105,4580,4480
778,1193,1295,4580,4500
778,1295,1193,4580,4500
2929,1116,1105,4580,4520
1714,1116,1193,4580,4520
1714,1193,1116,4580,4520
2929,1105,1116,4580,4520
64,1157,1191,7360,4540
64,1191,1157,7360,4540
2926,1232,1149,5200,5120
2926,1149,1232,5200,5120
1666,1193,1109,5320,5200
1666,1109,1193,5320,5200
779,1193,1295,5500,5380
779,1295,1193,5500,5380
2927,1149,1232,5580,5500
2927,1232,1149,5580,5500
1085,1295,1142,5600,5520
1085,1142,1295,5600,5520
837,1232,1295,5700,5600
837,1295,1232,5700,5600
65,1157,1191,8020,7420
65,1191,1157,8020,7420
1510,1191,1114,8100,8020
1510,1114,1191,8100,8020
66,1191,1157,8320,8180
66,1157,1191,8320,8180
67,1191,1157,8580,8460
67,1157,1191,8580,8460
1598,1196,1193,8940,8880
1598,1193,1196,8940,8880
1183,1114,1179,9120,9060
1183,1179,1114,9120,9060
252,1144,1157,9360,9200
1599,1196,1193,9300,9200
1599,1193,1196,9300,9200
252,1157,1144,9360,9200
5,1191,1152,9320,9220
5,1152,1191,9320,9220
1671,1365,1193,9360,9300
1671,1193,1365,9360,9300
1511,1191,1114,9420,9360
1511,1114,1191,9420,9360
253,1157,1144,9540,9420
253,1144,1157,9540,9420
1173,1365,1179,9840,9480
1173,1179,1365,9840,9480
254,1157,1144,9660,9580
254,1144,1157,9660,9580
255,1157,1144,9820,9740
255,1144,1157,9820,9740
6,1152,1191,10060,9740
6,1191,1152,10060,9740
1600,1196,1193,10360,9900
1600,1193,1196,10360,9900
68,1191,1157,10220,10140
68,1157,1191,10220,10140
1534,1191,1144,10420,10220
1534,1144,1191,10420,10220
256,1157,1144,10280,10220
256,1144,1157,10280,10220
257,1144,1157,10480,10420
257,1157,1144,10480,10420
1535,1191,1144,10580,10520
1535,1144,1191,10580,10520
69,1157,1191,10960,10660
69,1191,1157,10960,10660
70,1191,1157,11060,11000
70,1157,1191,11060,11000
161,1157,1363,11440,11320
161,1363,1157,11440,11320
7,1152,1191,11620,11420
7,1191,1152,11620,11420
12,1365,1152,11720,11620
12,1152,1365,11720,11620
162,1363,1157,11940,11660
162,1157,1363,11940,11660
14,1152,1374,12540,11720
14,1374,1152,12540,11720
1536,1191,1144,12120,12040
1536,1144,1191,12120,12040
163,1363,1157,12200,12140
163,1157,1363,12200,12140
164,1363,1157,12340,12260
164,1157,1363,12340,12260
421,1144,1159,12460,12320
421,1159,1144,12460,12320
165,1363,1157,12640,12580
165,1157,1363,12640,12580
15,1152,1374,12960,12640
15,1374,1152,12960,12640
21,1159,1157,12820,12700
21,1157,1159,12820,12700
1140,1193,1179,13300,13180
1140,1179,1193,13300,13180
1141,1193,1179,13520,13460
1141,1179,1193,13520,13460
